6.28288256e-01,-2.48949221e+00,1.26074379e+00,-2.48949221e+00,1.16620982e-01,-2.86124024e+00,7.49076514e-01,-2.86124024e+00
-7.11274058e-01,-2.25973929e+00,-7.88185256e-02,-2.25973929e+00,-5.15834550e-01,-2.86124024e+00,1.16620982e-01,-2.86124024e+00
-7.11274058e-01,-2.25973929e+00,-7.88185256e-02,-2.25973929e+00,-1.22294133e+00,-1.88799125e+00,-5.90485799e-01,-1.88799125e+00
-7.11274058e-01,-2.25973929e+00,-5.15834550e-01,-2.86124024e+00,-1.22294133e+00,-2.63148732e+00,-1.02750182e+00,-3.23298827e+00
-7.11274058e-01,-2.25973929e+00,-1.22294133e+00,-2.63148732e+00,-1.22294133e+00,-1.88799125e+00,-1.73460860e+00,-2.25973929e+00
-7.88185256e-02,-2.25973929e+00,-5.90485799e-01,-1.88799125e+00,1.16620982e-01,-1.65823833e+00,-3.95046292e-01,-1.28649030e+00
-5.15834550e-01,-2.86124024e+00,1.16620982e-01,-2.86124024e+00,-1.02750182e+00,-3.23298827e+00,-3.95046292e-01,-3.23298827e+00
-1.22294133e+00,-2.63148732e+00,-1.02750182e+00,-3.23298827e+00,-1.73460860e+00,-2.25973929e+00,-1.53916910e+00,-2.86124024e+00
-1.41838084e+00,-1.28649030e+00,-1.22294133e+00,-1.88799125e+00,-1.93004811e+00,-1.65823833e+00,-1.73460860e+00,-2.25973929e+00
-1.41838084e+00,-1.28649030e+00,-1.22294133e+00,-1.88799125e+00,-1.22294133e+00,-6.84989341e-01,-1.02750182e+00,-1.28649030e+00
-1.41838084e+00,-1.28649030e+00,-1.93004811e+00,-1.65823833e+00,-1.93004811e+00,-9.14742261e-01,-2.44171539e+00,-1.28649030e+00
-1.41838084e+00,-1.28649030e+00,-1.93004811e+00,-9.14742261e-01,-1.22294133e+00,-6.84989341e-01,-1.73460860e+00,-3.13241306e-01
-1.22294133e+00,-1.88799125e+00,-5.90485799e-01,-1.88799125e+00,-1.02750182e+00,-1.28649030e+00,-3.95046292e-01,-1.28649030e+00
-1.93004811e+00,-1.65823833e+00,-1.73460860e+00,-2.25973929e+00,-2.44171539e+00,-1.28649030e+00,-2.24627588e+00,-1.88799125e+00
-2.36706414e+00,-2.25973929e+00,-1.73460860e+00,-2.25973929e+00,-2.87873141e+00,-1.88799125e+00,-2.24627588e+00,-1.88799125e+00
-1.93004811e+00,-9.14742261e-01,-2.44171539e+00,-1.28649030e+00,-1.73460860e+00,-3.13241306e-01,-2.24627588e+00,-6.84989341e-01
-3.07417092e+00,-1.28649030e+00,-2.44171539e+00,-1.28649030e+00,-2.87873141e+00,-1.88799125e+00,-2.24627588e+00,-1.88799125e+00
-3.07417092e+00,-1.28649030e+00,-2.44171539e+00,-1.28649030e+00,-2.87873141e+00,-6.84989341e-01,-2.24627588e+00,-6.84989341e-01
-3.07417092e+00,-1.28649030e+00,-3.58583819e+00,-9.14742261e-01,-2.87873141e+00,-6.84989341e-01,-3.39039868e+00,-3.13241306e-01
-4.41373323e+00,-3.13241306e-01,-3.78127770e+00,-3.13241306e-01,-4.21829372e+00,-9.14742261e-01,-3.58583819e+00,-9.14742261e-01
-4.41373323e+00,-3.13241306e-01,-3.78127770e+00,-3.13241306e-01,-4.21829372e+00,2.88259649e-01,-3.58583819e+00,2.88259649e-01
-3.78127770e+00,-3.13241306e-01,-3.58583819e+00,-9.14742261e-01,-3.58583819e+00,2.88259649e-01,-3.39039868e+00,-3.13241306e-01
4.13530792e+00,-1.88799125e+00,3.62364065e+00,-2.25973929e+00,3.62364065e+00,-1.51624322e+00,3.11197337e+00,-1.88799125e+00
3.42820114e+00,-9.14742261e-01,3.62364065e+00,-1.51624322e+00,2.91653387e+00,-1.28649030e+00,3.11197337e+00,-1.88799125e+00
3.42820114e+00,-9.14742261e-01,3.62364065e+00,-1.51624322e+00,3.62364065e+00,-3.13241306e-01,3.81908016e+00,-9.14742261e-01
3.42820114e+00,-9.14742261e-01,2.91653387e+00,-1.28649030e+00,3.62364065e+00,-3.13241306e-01,3.11197337e+00,-6.84989341e-01
2.28407833e+00,-1.28649030e+00,2.91653387e+00,-1.28649030e+00,2.47951784e+00,-1.88799125e+00,3.11197337e+00,-1.88799125e+00
2.28407833e+00,-1.28649030e+00,2.91653387e+00,-1.28649030e+00,1.77241106e+00,-9.14742261e-01,2.40486659e+00,-9.14742261e-01
2.28407833e+00,-1.28649030e+00,2.47951784e+00,-1.88799125e+00,1.77241106e+00,-1.65823833e+00,1.96785057e+00,-2.25973929e+00
2.28407833e+00,-1.28649030e+00,1.77241106e+00,-1.65823833e+00,1.77241106e+00,-9.14742261e-01,1.26074379e+00,-1.28649030e+00
2.91653387e+00,-1.28649030e+00,2.40486659e+00,-9.14742261e-01,3.11197337e+00,-6.84989341e-01,2.60030610e+00,-3.13241306e-01
2.47951784e+00,-1.88799125e+00,3.11197337e+00,-1.88799125e+00,1.96785057e+00,-2.25973929e+00,2.60030610e+00,-2.25973929e+00
1.77241106e+00,-1.65823833e+00,1.96785057e+00,-2.25973929e+00,1.26074379e+00,-1.28649030e+00,1.45618330e+00,-1.88799125e+00
1.57697155e+00,-3.13241306e-01,1.77241106e+00,-9.14742261e-01,1.06530428e+00,-6.84989341e-01,1.26074379e+00,-1.28649030e+00
